Pct_Delta,PCT_Change,M_P_A,M_P_B,M_P_C,M_P_D,M_P_E,M_P_F,TlncT_P_A,TlncT_P_B,TlncT_P_C,TlncT_P_D,TlncT_P_E,TlncT_P_F,CPT_P_A,CPT_P_B,CPT_P_C,CPT_P_D,CPT_P_E,CPT_P_F,MCPT_P_A,MCPT_P_B,MCPT_P_C,MCPT_P_D,MCPT_P_E,MCPT_P_F,nMCPT_P_A,nMCPT_P_B,nMCPT_P_C,nMCPT_P_D,nMCPT_P_E,nMCPT_P_F,nMTIncT_P_A,nMTIncT_P_B,nMTIncT_P_C,nMTIncT_P_D,nMTIncT_P_E,nMTIncT_P_F
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.1,4418.181144,1946.800604,512.448743,63.034,1248.16177,1964.278298,15245.87608,7035.760256,468.3221682,62.81892603,1357.750964,8686.444299,0.289795163,0.276700816,1.094222691,1.003423713,0.919286234,0.226131456,1.157469609,0.995084497,2.211224315,1.975150381,1.857709669,0.962884227,0.897858695,0.781001988,1.884709648,1.691681947,1.58339582,0.744355996,984.1595717,498.5392184,54.37959567,7.452228254,157.6563175,527.7792638
0.5,0.2,8836.362288,3893.601208,1024.897486,126.068,2496.32354,3928.556595,19062.97945,8992.177635,700.0710412,94.73244542,2029.633008,10726.43856,0.463535216,0.432998698,1.463990689,1.330779538,1.229938383,0.366249858,1.657921467,1.400622304,2.76095965,2.449020847,2.319557271,1.385078195,1.434281023,1.220022377,2.521604971,2.242999466,2.118468897,1.19649136,1232.166103,638.2835729,81.28929773,11.24101917,235.6724277,656.6794758
0.333333333,0.3,13254.54343,5840.401812,1537.346229,189.102,3744.48531,5892.834893,21727.87114,10382.13166,885.6763408,120.4708952,2567.736458,12144.60997,0.610024947,0.562543609,1.735787847,1.569690337,1.458282566,0.485222243,2.088482554,1.744712693,3.18638819,2.813641791,2.676971355,1.74827426,1.885903349,1.583200835,2.989753484,2.645280826,2.511773192,1.577452182,1405.643978,737.7967068,102.8410026,14.29731,298.1547316,747.1332518
0.25,0.4,17672.72458,7787.202416,2049.794972,252.136,4992.64708,7857.113191,23843.36937,11497.96042,1046.50067,142.8738891,3033.995377,13268.16269,0.741200805,0.677268153,1.958713483,1.76474513,1.645568454,0.592177936,2.478093358,2.053060248,3.5439829,3.118893849,2.977396393,2.076716054,2.289885665,1.904394442,3.373724773,2.973674489,2.834357911,1.918103099,1543.546461,817.8140245,121.5152456,16.9578749,352.2947515,819.2586932
0.2,0.5,22090.90572,9734.00302,2562.243715,315.17,6240.80885,9821.391489,25626.26473,12446.20371,1191.097514,163.0842595,3453.207871,14214.0206,0.862041579,0.782086108,2.151162004,1.932559285,1.807249689,0.690965053,2.839282749,2.336768972,3.85720043,3.385433036,3.240538957,2.380941525,2.661724157,2.197537944,3.705201708,3.256178935,3.112840697,2.2314202,1659.894446,885.9007917,138.3052215,19.35827277,400.9719389,880.281669
0.166666667,0.6,26509.08686,11680.80362,3074.692458,378.204,7488.97062,11785.66979,27182.35531,13279.32013,1323.952613,181.7034434,3838.378914,15039.02124,0.975231416,0.879623618,2.32235839,2.081435514,1.951076428,0.78367266,3.179018692,2.601988653,4.138522717,3.624221768,3.476885459,2.666832637,3.009771635,2.470075764,4.000073569,3.50678356,3.360570565,2.524434559,1761.534766,945.785048,153.7317954,21.56985132,445.6963765,933.7274952
0.142857143,0.7,30927.26801,13627.60423,3587.141201,441.238,8737.13239,13749.94808,28572.14932,14027.51732,1447.776687,199.0958669,4197.367378,15775.57976,1.082427075,0.971490814,2.477689574,2.216208738,2.081574378,0.871597006,3.501706321,2.852590458,4.395530325,3.841902613,3.692804539,2.938119259,3.33918304,2.72657073,4.267618907,3.733634165,3.585342678,2.801502151,1852.385307,999.6149432,168.1097249,23.63584542,487.3806034,981.612531
0.125,0.8,35345.44915,15574.40483,4099.589944,504.272,9985.29416,15714.22638,29833.87168,14709.98494,1564.36074,215.5028419,4535.365709,16444.12931,1.18474228,1.058764159,2.620616741,2.339978423,2.201651377,0.955613161,3.81036257,3.09121489,4.633232669,4.042856474,3.892504741,3.197362399,3.653423254,2.970072509,4.513799335,3.941952339,3.79216555,3.06555973,1934.922219,1048.755866,181.6469736,25.58488569,526.6275445,1025.210909
0.111111111,0.9,39763.6303,17521.20544,4612.038687,567.306,11233.45593,17678.50468,30993.38893,15339.76988,1674.963591,231.0942932,4856.023448,17058.47265,1.282971358,1.142207841,2.753515785,2.454868063,2.313303478,1.036347453,4.107171229,3.319766135,4.855141984,4.230149597,4.07893679,3.446419867,3.954963214,3.202745552,4.742707137,4.135315283,3.984477218,3.318706823,2010.821752,1094.136587,194.4897104,27.43713411,563.8609693,1065.385141
